mating call
spotted plumage
short beak
short tail feathers
feathered crest
foraging behavior
nesting site
broad wingspan
strutting stance
predator awareness
grassland habitat
camouflaged feathers
bright orange throat
open prairie
dust bathing
migratory patterns
grounded posture
dancing ritual
territorial display
sunny meadow
seasonal changes
circular court
wildflower backdrop
nesting material
female presence
wide stance
low profile
natural camouflage
broad shoulder
alert eyes
fluffed up feathers
long legs
green tuft
wind rustling
ground level
streaming sunlight
early dawn light
dynamic posture
visual display
subtle colors
barrel-shaped body
forest edge
soft underbrush
intermittent drumming
outlined silhouette
sparse bushes
dappled shadows
intricate plumage
watchful gaze
flickering movement
subtle camouflage
large wings
fluffy tuft
horizon line
broad grass plain
earthy tones
ceremonial circle
natural soundtrack
shadowy patches
wooded borders
sharp silhouette
dense grasses
soft earth
textured ground
open sky
vibrant landscape
rocky outcrop
early spring greens
distant hills
floral accents
flickering tail
brightly colored plumage
broad wings
light brown feathers
rustling grass
bumpy ground
circular movement
open spaces
soft sunlight
flight path
sunset hues
colorful wattles
fluffy undercoat
dry dirt
shadowed terrain
ground cover
autumn leaves
bushy shrubs
small rocks
tangled roots
vibrant wildflowers
cloudy skies
camouflaged plumage
sharp claws
earthy feathers
open ground
plume display
quiet moment
distant birds
crouched stance
