adjustable speed
ergonomic grip
nozzle attachment
lightweight design
electric cord
plastic body
streamlined shape
circular fan
curved handle
exhaust port
ventilation opening
cooling mechanism
air flow direction
heat control setting
colorful nozzles
metal casing
sturdy base
thin air stream
power button
user interface panel
compact storage
rugged texture
handheld device
close-up view
outdoor use
focused air jet
curved body
heavy-duty cord
action shot
detailing work
fan blades
bright light
soft bristles
furniture surface
circular motion
powerful burst
grip texture
intense wind
dust cloud
open area
airborne debris
hardwood floor
colorful exterior
nozzle extension
handheld operation
smooth airflow
loud noise
heat emanation
cord management
blowing surface
warm air
large exhaust
cylindrical shape
streamlined profile
curved edges
turbine fan
simple controls
manoeuvrable design
tech components
robust motor
fine dust
wide opening
flexible tubing
minimalist design
ventilation grille
operating position
industrial setting
curved nozzle
compact design
ergonomic handle
plastic casing
prolonged use
ambient lighting
bright indicator
textured grip
detachable parts
smooth finish
angled spout
steady base
instruction label
fine mesh
cleaning surface
flexible hose
powerful jet
supporting legs
ventilation slots
circular vent
colorful accents
interior design
sturdy platform
modular structure
outdoor environment
suction power
compact nozzle
stationary use
detail attachment
air intake
heat dissipation
active cooling
fine mist
