dorsal view
scuttling motion
marine habitat
tide pool
rough shell
pincers grasping
seaweed camouflage
clawed limbs
sand substrate
aquatic movement
underwater stealth
shallow waters
rocky reef
evasive behavior
small crevices
scaly texture
green algae
predatory gaze
muddy environment
sunlit surface
fiddler crab
hard carapace
bumpy exoskeleton
thin legs
hidden burrow
curling claws
wet sand
heavy pincers
irregular spots
rounded shell
brown hue
glossy sheen
saltwater spray
slippery surface
sharp edges
driftwood pile
crushed shells
oval shape
small nooks
coral backdrop
ocean currents
sea foam
translucent pattern
beady eyes
creamy texture
brittle shell
shallow tide
muddy patches
small openings
oceanic blue
wet pebbles
sea grass
jagged edges
burrowing sand
basking sun
hard surface
coastal rocks
rustic driftwood
tangled roots
mottled pattern
cracked earth
green moss
sandy texture
curved forms
ocean waves
marine feeding
feeding behavior
coastal habitat
crustacean anatomy
textured carapace
fiddling limbs
hiding spots
wet environment
dramatic contrast
hidden textures
mottled colors
sharp rocks
rocky crevices
gritty surface
sharp pincers
shifting earth
sandy backdrop
undulating motion
vibrant colors
shimmering light
dark patterns
sheltered areas
wavy shadows
crab burrow
smooth carapace
scuttling pattern
jagged claws
cracked shell
pebbly terrain
soft underbelly
tiny pincers
prickly surface
marine debris
bumpy edges
camouflaged colors
