theatrical lighting
closed stage
draped corner
velvet drape
hanging folds
bright spotlight
red hue
color contrast
fringed border
ornate design
gold trim
light reflections
textured panel
smooth surface
gathered edges
dark shadows
velvety texture
maintaining tension
folded fabric
curtain tieback
stage floor
box office
dim atmosphere
spectator view
event ambiance
dimly lit
heavy fabric
draping angles
decorative valance
light moments
open horizon
mild breeze
neatly arranged
colorful scenes
visual focal point
soft pleats
ceremony setup
hanging tassels
intricate lace
floral embroidery
curled edges
stage shadows
heavy drapery
bright fringe
curtain rods
fabric wave
soft sweep
gathered ends
crimson layers
faded maroon
open space
tension lines
silhouette outline
hanging loops
silk fibers
uneven cut
whimsical patterns
folded pleats
faded edges
gold rope
elevated platform
curled hem
edge stitching
draped fabric
muffled sound
dim corners
ambient color
standing anticipation
hidden details
soft light
curved edges
textured backdrop
distant view
arching form
folded angles
subtle sheen
flowing lines
shaped outline
layering folds
shimmering weave
tight weave
supporting structure
crinkled surface
metal rings
flowing drape
dramatic sweep
vertical lines
ornate fringe
open spread
rich colors
thick panels
sharp creases
silky folds
tension hold
gold accents
twilight glow
soft surface
smooth finish
twisted thread
colorful fabric
