textured vegetables
healthy dish
green florets
small bunches
leafy greens
raw produce
crisp stalks
horizontal arrangement
steamed texture
macro close-up
vegetable garden
growing in soil
natural habitat
sliced cross-section
bumpy surface
market display
vibrant colors
rustic basket
bright sunlight
bumpy crown
rough stem
crisp sound
dark green
vertical stalk
sprawling growth
slightly wilted
spiky tips
random arrangement
overhead view
dense cluster
soft edges
frosty coating
curved shape
floral head
matted leaves
brittle texture
contrast backdrop
uneven surface
dappled light
tendrils wrapping
light shadow
vase presentation
wet droplet
horizontal lines
tight clusters
healthy serving
seasoned dish
fresh cut
sturdy stem
curved florets
grilled vegetable
cooking process
rough base
simple plate
baked texture
sliced edge
asymmetric shape
garden soil
green texture
steam rising
natural light
folded leaves
family meal
rustic theme
outdoor seating
interior view
irregular edges
knife edge
crunchy bite
vegetable slice
fresh aroma
stir-fried dish
varied heights
blue plate
sharp contrast
plated meal
divided sections
dipping sauce
steaming bowl
patterned leaves
table setting
floret pattern
deep shadows
rough surface
fork and knife
rustic countertop
wooden cutting board
garden trellis
raw bunches
bushy appearance
deep green
nutrient-rich soil
delicate stem
crowded florets
fresh farm
textural contrast
curved crown
elevated view
earthy tones
rough leaves
