feeding behavior
clawed pincers
sharp mandibles
rocky substrate
scuttling movement
reddish hue
soft shell
transparent claws
freshwater habitat
natural camouflage
curved tail
small shell
long antennae
green algae
exposed gills
swimming motion
thorny spikes
muddy riverbed
underwater plants
submerged rocks
bubbly water
scattered pebbles
fiddler claw
curved claws
aquatic biodiversity
spiny appendages
natural habitat
muddy depths
smooth shell
bright markings
ocean floor
hard exoskeleton
drifting debris
drowned twigs
terrestrial surroundings
marshy edges
bordering reeds
water surface
flexible joints
serrated edges
tangled weeds
bent posture
striped pattern
multicolor hues
dilapidated pier
sunlit ripples
creepy crawlers
hard shell
spiny legs
crawling motion
gripping claw
sharp contrast
hiding spot
oily sheen
tiny pincers
tiny eyes
crystal clear
floating debris
wet sand
sharp crevices
cord grass
muddy banks
glossy surface
muddy texture
water reflections
rocky ledge
bubbly foam
dense foliage
dappled light
grassy patches
broad carapace
sandy floor
fleshy body
careful stance
twisted roots
shallow waters
hidden burrow
vibrant shell
curled legs
glimmering scales
sturdy pincers
wet stones
rocky crevices
bright environment
plankton cloud
grainy texture
decaying leaves
bubbly surface
bristle patterns
tranquil pond
subtle shadows
intertwined grasses
dental pattern
overhanging branches
leafy backdrop
dark crevices
sandy patch
slimy texture
curved antennae
underwater roots
