split fruit
red seeds
fresh cut
sweet juice
autumn harvest
fruit clusters
healthy snack
citrus aroma
tart flavor
moist seeds
drupe texture
bright color
fertile ground
glossy skin
rustic bowl
juicy interior
sharp edges
decorative centerpiece
food market
ceramic plate
ice cream topping
tropical backdrop
green leaves
juicy core
crimson hue
fleshy pulp
opaque shell
luscious display
haphazard arrangement
harvest basket
irregular shape
peeling rind
layered segments
smooth texture
fragile membrane
scattered seeds
rough skin
dark shadow
natural light
deep crevice
elegant curves
bumpy exterior
sunset glow
bare branches
grassy field
crimson arils
spherical form
brightly colored
tightly packed
sliced segments
