sandy substrate
underwater habitat
predator avoidance
camouflaged appearance
pale belly
small fins
ocean floor
spiny surface
playful swimming
propelling water
large eyes
rounded body
floating motion
scattered coral
slimy exterior
curved spikes
inflated shape
soft texture
tranquil sea
seaweed backdrop
bright colors
sturdy shell
crystal clear
flickering fins
stealthy movement
bubbly surface
silvery glint
iridescent scales
oceanic backdrop
scraggly seaweed
green algae
blooming corals
rippled surface
glistening droplets
granular sand
overhanging ledge
wavy motion
rocky ledges
twisted roots
smooth stones
swirling currents
dappled sunlight
rounded silhouette
jagged rocks
distant horizon
dark shadows
underwater plant
mottled skin
depth perception
textured fins
