classic look
jacket layers
draped fit
double-breasted buttons
oversized collar
tailored seams
neutral color
knee length
stylish folds
waterproof layer
flared hemline
cinched waist
rainy weather
long sleeves
cotton fabric
structured shoulders
pocket flaps
urban setting
crossbody strap
body silhouette
open front
fabric sheen
windy day
lightweight drape
stylish movement
model runway
outdoor stroll
bold color
front zipper
slender cut
dynamic pose
satin finish
hidden seams
smooth outline
urban adventure
layered fabric
sleek texture
waist ties
elegant silhouette
afternoon sun
minimalist design
urban landscape
cozy interior
cuffed sleeves
jacket folds
form-fitting shape
asymmetrical hem
dramatic posture
stitch detailing
faded colors
