social grooming
baby monkeys
jungle habitat
long nose
playful expression
curved tail
sharp claws
swinging branches
browsing behavior
hunched posture
yellowish tint
brown fur
vocal communication
smooth skin
natural light
wet fur
orange hands
bright underbelly
large eyes
dense foliage
tall trees
muddy ground
diet of fruits
bushy tail
broad snout
crowded branches
fluffy cheeks
curved limbs
hanging roots
pinkish paws
orange patches
soft belly
climbing vines
gentle slope
rocky outcrop
grey underfur
green moss
sunlit glade
muddy banks
dappled sunlight
forest stream
underbrush texture
sandy soil
leafy shadows
plaid patterns
natural habitat
chubby limbs
playful leap
snack time
swinging belly
