slithering motion
scaly skin
twisted tail
basking behavior
coiled posture
v-shaped markings
sharp fangs
sinuous shape
brownish hue
camouflaged print
hidden crevice
high contrast patterns
bumpy surface
recessed eyes
heat shimmer
dense underbrush
dappled sunlight
rocky outcrop
dry brush
sunny environment
leaf litter
sand texture
thorny bushes
desert landscape
overlapping scales
broad head
arched neck
serpentine path
small burrow
hissing sound
twisted roots
silk-like sheen
heavy breathing
slight curve
gentle sway
dark shadow
spiky ridges
flattened body
desert floor
dry terrain
sandy rocks
yellow warning
loose gravel
thick undergrowth
jagged edge
warm sunlight
scattered stones
thin branches
natural camouflage
raised scales
