spa setting
soapy foam
inside a bathroom
filled with water
draining spout
slippery sides
bubbles forming
overflowing edge
circular rim
faucet nearby
sturdy base
floating objects
plastic material
ceramic glaze
metal fittings
shower curtain backdrop
rusty edges
bath toys scattered
lavender bath salts
textured surface
children playing
colorful patterns
outdoor garden
simple elegance
rounded edges
thick rim
heavy ceramic
subtle sheen
compact size
smooth curves
solid base
soft lines
vintage appeal
sandy color
textured grips
slim profile
minimalist style
frosted finish
opaque glass
symmetrical design
neutral tones
white porcelain
decorative trim
geometric patterns
industrial design
built-in shelving
bathing supplies
deep basin
steam rising
overflow drain
