fungus spores
bowing stem
pale spore
slender stem
organic form
forest floor
dark cap
underbrush habitat
rotting material
shallow depth
nature setting
white goo
earthy colors
spongy texture
circular base
damp soil
curved shape
twisted structure
soft light
intricate pattern
mossy rocks
green foliage
brittle cap
fringed edge
fragile stalk
sandy substrate
glistening tip
soft underside
yellow tinge
asymmetric growth
tapered end
rich humus
discolored patch
moist environment
dark filaments
petrichor scent
blurring focus
bumpy exterior
algal bloom
brightly colored
uneven ground
dried leaves
web-like pattern
spiral shape
translucent layer
squat form
shadow cast
fleshy stalk
twiggy base
twisted growth
