comfort food
baked filling
forkful of pie
round dish
flaky pastry
cheesy top
golden crust
brown gravy
cooked vegetables
savory aroma
hearty texture
browning edges
oven mitts
warm steam
dinner setting
chicken chunks
spicy seasoning
green peas
fork and knife
steamy interior
deep filling
baking dish
pie weights
flaky layers
homestyle dinner
buttery glaze
individually portioned
cooking steam
golden sheen
herbal garnish
baking parchment
roasted aroma
oven door
rustic charm
vegetable chunks
slicing tool
dough rolling
flour dust
oven rack
egg wash
crisp flakes
countertop mess
herb sprigs
whole pie
garnished dish
homemade appearance
handheld serving
circular crust
family meal
filling texture
