billed feeding
long legs
yellow beak
sharp beak
flocking behavior
preening feathers
graceful posture
white feathers
large nests
outstretched wings
wetland habitat
black tips
standing on one
chick nurturing
curved neck
muddy shores
flying over water
early morning light
bushy greenery
blue sky
legs in water
distant silhouettes
soft plumage
nest building
broad stance
elegant stride
natural camouflage
flat wetlands
fishing posture
soft twilight
angled branches
wet reeds
muddy bank
quiet landscape
reflective pond
damp earth
slender silhouette
cloudy horizon
grassy shoreline
shimmering water
vibrant sunset
colorful wildflowers
dirty feathers
flying high
deep blue
twisted roots
thick underbrush
wet mud
sandy shore
open field
