loyal companion
wagging tail
playful demeanor
bushy tail
dark fur
large paws
furry face
warm gaze
bright collar
thick coat
curly mane
alert ears
intimidating stance
gentle eyes
defined muscles
soft underbelly
broad chest
tall frame
calm posture
dusk light
mountain backdrop
curved horns
snowy ground
big paws
fluffy mane
matted fur
bristling fur
dark markings
solid black
short snout
thick neck
protective aura
wide stance
broad shoulders
deep bark
heavy build
large diameter
sturdy legs
sharp claws
curved back
clear eyes
strong jaw
soft padding
rough terrain
watery nose
wrinkled skin
sturdy paws
shaggy coat
maned neck
curly tuft
