caffeine extraction
polished chrome
portafilter basket
brewing spout
drip tray
brewing indicator
cafe setting
steam wand
manual lever
user interface
coffee grounds
sleek silhouette
hot water reservoir
warm glow
minimalistic design
base legs
steam valve
textured handle
measuring scoop
exposed wiring
etched logo
clear waterline
pressure gauge
copper tubing
coffee aroma
glossy finish
black base
spouted design
tamping motion
heat source
frothing pitcher
filter basket
liquid flow
metal body
rounded edges
hissing sound
viscous liquid
handle grip
brushed metal
ceramic cup
dark countertop
sophisticated look
mechanical arms
steam cloud
carved wood
frosted glass
slender tubing
coffee grinder
shiny portafilter
espresso shot
