friendly demeanor
inquisitive gaze
floppy ears
brown patches
bark sound
small stature
lively jump
happy expression
furry tail
playful stance
tilted head
leash walking
wet nose
dog bowl
short legs
white paws
curly coat
twitching whiskers
pavement chase
textured fur
cuddly sleeping
sunny park
bright eyes
outdoor grass
playtime toys
muddy fur
sniffing ground
sturdy paws
bright collar
lively tail
pointed snout
ear twitch
twisted leash
licking lips
soft underbelly
chew marks
rough ground
curved body
bone shape
grass stains
puddle jump
sharp claws
bright sunlight
wooden fence
autumn leaves
green foliage
overgrown grass
stone path
sunset backdrop
rainy street
