social grooming
curly tail
alert expression
twitching ears
playful interaction
foraging behavior
huddled group
focused gaze
thick fur
sharp claws
bushy eyebrows
strong limbs
large canine teeth
shiny eyes
sitting posture
infant carrying
open mouth
pink face
wild vegetation
rocky terrain
jumping pose
colorful surroundings
simian hands
twitching tail
short legs
grooming paws
curved snout
open savanna
alert stance
angular jaw
rough skin
dense shade
matted hair
wet nose
sunlit face
shadowed areas
tree branches
grassy plains
dirt ground
forested backdrop
sparse trees
scattered rocks
sunset sky
tan coloration
short snout
thick limbs
playful stance
watchful eyes
ear tufts
curved ears
