mountain backdrop
snowy hills
rugged terrain
brown patches
curved horns
sunny pasture
meandering path
soft muzzle
cloudy sky
bright sunlight
scattered rocks
gentle breeze
playful jump
cloven hooves
wide eyes
noisy bleats
sheltering trees
short legs
vibrant greenery
eating hay
fluffy coat
furry ears
open valley
gentle slopes
winter chill
patchy snow
steep incline
craggy cliffs
frosty ground
barren landscape
whispering wind
earthen path
sparse vegetation
broad snout
sandstone rocks
woolly texture
tent-like shelter
dense foliage
muddy tracks
tall grasses
crimson sunset
plush undercoat
twisted branches
rustic fence
dappled shade
glossy leaves
orange wildflowers
shadowed valley
rocky terrain
elevated viewpoint
