beachside wear
loose fitting
exotic prints
flowing drape
bohemian style
waist wrap
breezy fabric
casual stroll
lightweight garment
bright hues
freedom of movement
outdoor relaxation
warm climate
layered textiles
hanging folds
vibrant patterns
sunset backdrop
soft edges
embellished hem
knot tie
cinched waist
asymmetrical hem
vivid embroidery
floral motif
structured pleats
draped silhouette
lightweight gauze
silky sheen
beaded fringe
hand-painted design
layered fabric
colorful paisley
tassel detail
decorative border
saturated colors
chunky knit
elegant cascade
faded hues
contrasting panels
twisted braid
thin stripes
abstract shapes
flowing fabric
wrap-around design
wide folds
hanging drape
bright threads
tied end
long length
vibrant hues
