gentle gaze
cub interaction
cold habitat
white fur
thick neck
soft belly
large paws
playful stance
hungry expression
sliding on ice
frosty breath
powerful limbs
blunt claws
swimming posture
icy waters
arctic sunset
tundra plants
snowflakes falling
mountain backdrop
bright eyes
polar shadows
vertical roar
fluffy underbelly
arctic wind
amber sunlight
wet fur
curved claws
hunting stance
glacial crevice
jagged ice
drifting snow
icebergs floating
sharp ridge
frozen terrain
sloping hill
simple paw print
tranquil sea
distant horizon
rocky cliffs
tangled seaweed
dense fog
sparse vegetation
dark skies
broad paws
heavy breathing
wide stance
pale whiskers
large head
slender snout
thick ice
