large capacity
empty container
curved spout
circular lid
bulk storage
metallic sheen
filled with liquid
stacked cans
tall shape
farm fresh
polished finish
vintage design
handle grip
industrial setting
pale blue paint
faded label
white cream inside
weathered texture
kitchen shelf
painting supplies
bright sunlight
swirling cream
heavy duty
metallic color
sturdy base
weathered paint
dented metal
small handle
round body
rusty edges
pouring liquid
soft light
pale sunlight
wide opening
reflective surface
wooden crate
vintage texture
countryside setting
grazing cow
hazy atmosphere
green grass
dirt pathway
sunny field
dark shadows
tall cylinder
industrial style
metallic body
heavyweight design
narrow neck
painted details
