bottle neck
group of bottles
soda pour
liquid inside
refreshing fizz
recyclable material
plastic cap
label texture
half empty
cooling ice
bubbles rising
drop condensation
bright colors
shiny surface
curved glass
transparent body
twisted cap
hand grip
static electricity
table setting
rounded base
tall silhouette
point of consumption
translucent sheen
cylindrical shape
label alignment
neon glow
spilled contents
frosted glass
reflective light
side view
capsule top
vintage design
flat bottom
smooth surface
overflowing edge
condensation ring
faded print
stacked arrangement
broad base
wooden crate
shadow play
crumpled paper
flat cap
angled view
popping sound
classic design
layered appearance
pointed edge
color gradient
