open trap
bait holder
mechanical claw
wooden base
fishing lure
snap mechanism
safety latch
trigger arm
live bait
metal bar
sharp prongs
rodent tracks
coil spring
rustic design
storage container
small footprint
broke spring
rusty metal
kitchen counter
workshop floor
concrete surface
garden shed
hunting area
sliding mechanism
compact size
offset angle
plastic casing
flat surface
safety cover
weight distribution
screw fastening
interior structure
anti-slip grip
fishing gear
warning label
hollow cavity
ground level
hinged joint
dull finish
trigger point
geometric shape
rustic paint
shadow casting
timber texture
colorful design
trap assembly
dual prongs
safety mechanism
rodent deterrent
metal grip
