fetching stick
sniffing ground
playful behavior
shiny fur
running dog
dog park
focused gaze
soaking wet
alert ears
treat reward
playful stance
friendly posture
dog bowl
long tail
wet nose
curly coat
jumping height
collar tag
open mouth
strong legs
ear floppiness
bushy eyebrows
splashing water
green grass
sunlit park
long muzzle
lively wag
playful jump
soft paws
perky stance
dark coat
chewy toy
floppy ears
coat sheen
curved tail
furry chest
bean bag
muddy puddle
misty morning
stretched legs
park bench
sunset glow
sandy beach
scruffy bushes
autumn leaves
rolling waves
fence line
wooded trail
distant mountains
wildflowers field
