geothermal activity
steam eruption
steam rising
hot spring
smoky mist
natural phenomenon
natural basin
water column
shooting water
bubbling pool
vapor cloud
mineral deposits
thermal vent
scenic viewpoint
valley backdrop
crater edge
surrounding flora
surging waves
rocky landscape
colorful mineral
lush vegetation
sunset reflection
steam burst
spouting water
scalding steam
thermal spring
fountain spray
water plume
natural eruption
spray mist
vapor trail
explosive spray
pressure build-up
mineral crust
vibrant minerals
jagged edges
rocky terrain
dazzling sun
fluffy clouds
granite boulders
wet stones
earthy texture
erupting water
fountain-like jet
tall plume
steaming surface
sunlit steam
spraying mist
steam jets
water arc
