plant munching
rich biodiversity
small antennae
natural habitat
larval stage
glossy wings
thin legs
yellow markings
green shell
color contrast
under leaf
above ground
overhead view
rounded body
vegetation camouflage
textured exoskeleton
twig perch
forest floor
dewy surface
sunlit exposure
near flowers
polka dot pattern
dappled sunlight
minuscule claws
tiny droplets
leaf edge
angled flight
bumblebee bloom
iridescent sheen
dark shadow
folded wings
faint echoes
soft underbrush
broken twig
leafy canopy
sandy dirt
silky texture
delicate veins
rustic garden
distant silhouette
rough surface
swirling patterns
curved contours
dramatic lighting
jagged outline
sunset glow
bright carapace
vibrant underside
striking contrast
pollen grains
