cultural artifact
small size
ceramic material
finger holes
whistle feature
handheld instrument
oval shape
tuning pegs
colorful glaze
folk music
melodic tunes
arched tops
musical notes
smooth surface
musician performing
ethnic patterns
playing outdoors
rustic decor
vibrant hues
group of players
ceramic shine
rounded edges
curved body
glossy finish
warm tones
blue glaze
reflective sheen
intricate carving
close-up focus
soft lighting
hands holding
floral motifs
stone surface
indoor shelf
water reflections
sandy dunes
sunset hues
blue sky
green grass
ancient ruins
dark shadows
distant mountains
decorative glaze
musical breath
oval form
ornamental style
acoustic design
pressed clay
delicate balance
hollow chamber
