friendly demeanor
broad snout
sniffing ground
alert expression
dog collar
playful posture
pointed ears
muscular build
watchful eyes
brown patches
open mouth
bounding movement
strong legs
toy ball
curved tail
sunlit fur
short coat
light reflections
park setting
rough texture
green grass
wooden fence
thick neck
long leash
dog house
shiny collar
dark patches
spotted shadow
short legs
compact body
padded blanket
loose gravel
solid color fur
wet ground
grass tuft
open door
metal fence
dark pavement
wooden stairs
carpet texture
sandy surface
dirt path
cloudy sky
rural landscape
dark muzzle
large paws
bright collar
sturdy leash
strong stance
snarling expression
