ancient instrument
ceremonial use
striking mallet
resonant tone
vibrant sound
circular shape
drumstick impact
vibration waves
thick rim
musical performance
reflective metal
hanging fixture
installation art
bronze surface
artistic design
decorative carvings
lush backdrop
festive event
textured finish
outdoor setting
dimly lit stage
colorful tassels
metallic clatter
decorative rim
balanced stance
sound waves
striking angle
echo chamber
metallic sheen
circular pattern
wooden support
solid frame
sturdy base
impact point
polished surface
wide aperture
hanging chain
rimmed edge
blurry motion
suspension system
cushioned grip
soft glow
vibrant shadow
angled reflection
textured face
fibrous texture
distant landscape
circular drum
deep resonance
sound reflection
