barking pose
tail wagging
alert ears
stubby tail
bright collar
tilted head
leash walking
small paws
playful stance
oval snout
dog toys
playful jump
circular nose
white whiskers
soft fur
cheerful face
sparkling eyes
sitting position
dark coat
curled tail
bushy eyebrows
curly beard
outdoor playtime
friendly demeanor
grey markings
chew toy
perky stance
grooming brush
paw print
short legs
side profile
furry chest
glossy eyes
petting hand
narrow body
food bowl
sturdy frame
bristly texture
rectangular shape
plaid blanket
wooden floor
clear ball
sofa corner
indoor setting
bright window
leather cushion
wirey coat
tiled kitchen
loyal gaze
gentle stance
