close-up detail
vertical fold
auricle shape
fleshy lobe
earwax texture
outer cartilage
hairy skin
gentle curve
soft tissue
inner surface
sound wave
human profile
pierced earring
folded helix
dark shadow
glossy finish
piercing hoop
headphone cushion
colorful hearing aid
woven straw
feather edge
curved shell
bristle brush
canvas patch
glimmering light
silk ribbon
color gradient
smooth stone
shimmering fabric
gold hoop
tassel fringe
ceramic dish
transparent overlay
bright paint
floral print
chalky surface
beaded chain
pearl stud
metal clasp
jewelry box
textured wall
frayed edge
delicate fold
organic shape
subtle dip
contrasting shade
angular profile
soft shadow
warm hue
furry tuft
