small size
shiny exoskeleton
dark coloration
sharp mandibles
long antennae
hunting pose
rounded body
creeping motion
quick movement
jewel-like eyes
iridescent sheen
multiple legs
glossy shell
camouflaged habitat
leaf litter
wooded area
soil surface
nighttime activity
leafy greens
moist environment
overlay shadows
larval prey
dark habitat
tiny claws
smooth exoskeleton
crawling motion
thin legs
curved antennae
pointed head
oval shape
damp leaf
forest floor
shallow puddles
wet soil
gritty terrain
slippery stones
broken twigs
soft shadows
textured surface
sunlit ground
moist rocks
gnarled bark
sandy surface
scattered pebbles
colorful flowers
sharp carapace
fleshy plant
moist ground
exposed rock
burrow entrance
