sandy fur
playful behavior
pointed ears
long snout
hunting stance
twitching nose
curved tail
yellow eyes
whiskered face
padded paws
alert posture
keen senses
small bush
open grassland
furry coat
dappled sunlight
mouth open
trotting motion
rocky terrain
fresh tracks
forest floor
desert landscape
muscular legs
pale sand
low canopy
hidden burrow
rough terrain
dusty trail
shifting shadows
silent dusk
absent footprints
sunlit clearing
fenced enclosure
rustic hills
stark silhouettes
stony outcrop
tangled underbrush
swaying branches
tall grasses
wildflower patch
dry leaves
curved horizon
scattered pebbles
deserted pathway
twisting vines
mesic habitat
grazing herbivores
crouched posture
circular paw prints
dark undercoat
