snorkel tube
marine life
underwater lighting
diving mask
scuba fins
submerged silhouette
diving knife
dive flag
kelp forest
flippers kicking
wet suit
visibility reduction
currents flowing
goggles reflection
mooring buoy
bubbles trail
equipment straps
depth gauge
air tank
sunlit surface
diving bubbles
dive watch
nautical depth
marine currents
buoyant ascent
vertical descent
oceanic shadows
floating debris
dorsal fins
sandy substrate
bright coral
aquatic plants
wet surfaces
silvery scales
tranquil waters
beaming sunlight
reflective visor
distant horizon
rock formations
desolate expanse
traces in sand
murky depths
sunken treasures
floating gear
aquatic silhouettes
underwater rocks
shiny fins
bubbling air
twisted algae
colorful wetsuit
