loyal companion
friendly demeanor
obedience training
pointed ears
fetching stick
running paws
friendly interaction
brindle pattern
focused gaze
barking sound
dog park
playful stance
cropped tail
alert posture
wet nose
shiny coat
sunlit fur
muscular frame
collar tag
dark coat
open mouth
leaping action
green grass
hound shape
long snout
bright collar
playful bark
canine teeth
golden fur
alert stance
playful jump
bushy fur
brindled markings
muscular build
quick movement
soft underbelly
dark eyes
strong legs
rough terrain
sunlight shadows
wooden fence
open field
stone wall
shallow water
scattered leaves
dirt path
alert ears
sandy fur
sturdy paws
tapered muzzle
