mating display
hard carapace
shiny black
strong mandibles
natural camouflage
dull brown
antennae movement
spiky legs
larval stage
delicate wings
sturdy body
burrowing behavior
grassy habitat
curved horn
exoskeleton texture
jewel-like eyes
leaf debris
tropical environment
overhead perspective
earthy colors
climbing ability
reflective surface
soil texture
flashy patterns
dark abdomen
branching antennae
angular legs
thick shell
crisp details
forest floor
soft focus
pollen grains
muddy ground
jagged edges
dimensional shadows
organic patterns
rough terrain
delicate veins
wet leaves
natural light
tangled roots
sunlight dappling
hidden crevice
damp undergrowth
earth tones
vegetation backdrop
mossy rocks
twisted thorax
bulbous abdomen
bold contrast
