small size
muddy ground
bright belly
mossy habitat
furry belly
grassy banks
colorful markings
jumping motion
long legs
slippery rocks
slimy skin
splashing water
tropical colors
rippling surface
hiding spots
shady areas
bulging eyes
leafy camouflage
sticky pads
nature sounds
pond reflections
swimming posture
webbed toes
dark patterns
shallow puddle
granular sand
serpent-like form
still water
sharp rocks
sunlit patch
silvery scales
hidden crevice
damp earth
branching paths
wet foliage
dark shadows
bubbling brook
soft grass
nested eggs
curling tendrils
twisted branches
swirling leaves
rough bark
glossy underbelly
floating debris
burrowing action
muddy trails
sharp claws
deep shadows
broad leaves
